phase,instance,n_orders,n_nodes,n_active,capacity,std_dist_km,std_n_routes,std_elapsed_s,std_makespan_h,std_fallback_km,std_n_fallbacks,std_effective_km,c_time_dist_km,c_time_n_routes,c_time_elapsed_s,c_time_makespan_h,c_time_fallback_km,c_time_n_fallbacks,c_time_effective_km,c_full_dist_km,c_full_n_routes,c_full_elapsed_s,c_full_makespan_h,c_full_fallback_km,c_full_n_fallbacks,c_full_effective_km,time_vs_std_effective_improvement_pct,time_vs_std_fallback_km_avoided,time_vs_std_makespan_delta_h,ml_vs_time_effective_improvement_pct,ml_vs_time_fallback_km_avoided,ml_vs_time_makespan_delta_h,full_vs_std_effective_improvement_pct,full_vs_std_fallback_km_avoided,full_vs_std_makespan_delta_h
low,27300_6_0.004,286,46,46,700.0,201.313,4,0.017,11.643,0.0,0,201.313,201.313,4,0.023,11.643,0.0,0,201.313,201.313,4,0.028,11.643,0.0,0,201.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,26200_6_0.003,215,46,46,700.0,160.734,3,0.021,11.912,0.0,0,160.734,160.706,3,0.023,11.61,0.0,0,160.706,161.138,3,0.029,11.912,0.0,0,161.138,0.017,0.0,-0.302,-0.269,0.0,0.302,-0.251,0.0,0.0
low,20700_5_0.001,72,21,21,700.0,114.268,1,0.008,12.425,0.0,0,114.268,114.268,1,0.008,12.425,0.0,0,114.268,114.268,1,0.013,12.425,0.0,0,114.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,1100_0_0.001,1794,949,814,700.0,2038.334,28,1.587,12.864,0.0,0,2038.334,1975.461,26,1.921,13.679,0.0,0,1975.461,1999.956,26,1.877,12.996,0.0,0,1999.956,3.085,0.0,0.815,-1.24,0.0,-0.683,1.883,0.0,0.132
low,25500_6_0.002,143,46,43,700.0,122.851,2,0.016,11.822,0.0,0,122.851,123.345,2,0.02,11.872,0.0,0,123.345,123.455,2,0.028,11.872,0.0,0,123.455,-0.402,0.0,0.05,-0.089,0.0,0.0,-0.492,0.0,0.05
low,27600_6_0.004,286,46,46,700.0,200.317,4,0.017,11.777,0.0,0,200.317,200.115,4,0.021,11.777,0.0,0,200.115,200.721,4,0.027,11.777,0.0,0,200.721,0.101,0.0,0.0,-0.303,0.0,0.0,-0.202,0.0,0.0
low,3900_0_0.004,7177,949,948,700.0,6781.665,97,2.114,12.562,0.0,0,6781.665,6777.701,97,2.261,12.562,0.0,0,6777.701,6661.353,95,2.379,12.391,0.0,0,6661.353,0.058,0.0,0.0,1.717,0.0,-0.171,1.774,0.0,-0.171
low,5000_1_0.001,642,375,303,700.0,514.749,9,0.291,12.523,0.0,0,514.749,526.859,9,0.331,12.618,0.0,0,526.859,515.354,9,0.362,12.593,0.0,0,515.354,-2.353,0.0,0.095,2.184,0.0,-0.025,-0.118,0.0,0.07
low,29800_7_0.002,139,29,29,700.0,248.067,2,0.01,12.77,0.0,0,248.067,249.584,2,0.013,12.867,0.0,0,249.584,249.584,2,0.016,12.867,0.0,0,249.584,-0.612,0.0,0.097,0.0,0.0,0.0,-0.612,0.0,0.097
low,22600_5_0.003,215,21,21,700.0,303.722,3,0.008,12.401,0.0,0,303.722,303.722,3,0.008,12.401,0.0,0,303.722,303.722,3,0.012,12.401,0.0,0,303.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,14700_3_0.003,653,39,39,700.0,199.43,9,0.025,11.504,0.0,0,199.43,199.43,9,0.017,11.504,0.0,0,199.43,199.46,9,0.02,11.504,0.0,0,199.46,0.0,0.0,0.0,-0.015,0.0,0.0,-0.015,0.0,0.0
low,5200_1_0.002,1284,375,362,700.0,782.591,17,0.383,12.248,0.0,0,782.591,761.474,16,0.443,12.248,0.0,0,761.474,774.316,17,0.48,12.053,0.0,0,774.316,2.698,0.0,0.0,-1.686,0.0,-0.195,1.057,0.0,-0.195
low,18300_4_0.003,628,81,81,700.0,205.366,8,0.04,11.732,0.0,0,205.366,205.643,8,0.045,11.737,0.0,0,205.643,205.643,8,0.055,11.737,0.0,0,205.643,-0.135,0.0,0.005,0.0,0.0,0.0,-0.135,0.0,0.005
low,16200_4_0.001,209,81,76,700.0,129.277,3,0.035,12.658,0.0,0,129.277,129.277,3,0.044,12.658,0.0,0,129.277,129.277,3,0.061,12.658,0.0,0,129.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high,B_m100_pf0.2_occ0.75_d5.0_s1,500,100,99,700.0,237.219,7,0.054,12.153,9.203,8,246.422,238.196,7,0.074,11.997,9.203,8,247.399,238.402,7,0.088,12.102,9.203,8,247.605,-0.396,0.0,-0.156,-0.083,0.0,0.105,-0.48,0.0,-0.051
high,B_m50_pf0.4_occ0.75_d5.0_s1,250,50,50,700.0,145.068,4,0.02,12.375,5.342,3,150.41,145.068,4,0.024,12.502,5.342,3,150.41,145.068,4,0.036,12.502,5.342,3,150.41,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.127
high,B_m15_pf0.0_occ0.75_d5.0_s1,75,15,15,700.0,65.347,1,0.003,12.288,3.99,2,69.337,65.347,1,0.006,12.288,3.99,2,69.337,64.234,1,0.01,12.317,3.99,2,68.224,0.0,0.0,0.0,1.605,0.0,0.029,1.605,0.0,0.029
high,B_m15_pf0.2_occ0.7_d9.0_s1,135,15,15,700.0,84.185,2,0.004,11.955,10.074,5,94.259,84.185,2,0.006,11.955,10.074,5,94.259,84.185,2,0.007,11.955,10.074,5,94.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high,B_m100_pf0.0_occ0.75_d9.0_s1,900,100,100,700.0,395.772,11,0.061,12.045,102.965,73,498.737,392.981,12,0.066,11.768,123.976,84,516.957,393.34,12,0.08,11.979,106.096,76,499.436,-3.653,-21.011,-0.277,3.389,17.88,0.211,-0.14,-3.131,-0.066
high,B_m30_pf0.2_occ0.7_d5.0_s0,150,30,30,700.0,127.278,2,0.012,12.498,4.787,2,132.065,127.278,2,0.015,12.514,4.787,2,132.065,127.278,2,0.019,12.514,4.787,2,132.065,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.016
high,B_m100_pf0.4_occ0.8_d7.0_s1,700,100,100,700.0,258.617,10,0.055,11.415,58.875,52,317.492,260.39,10,0.071,11.401,58.622,52,319.012,257.474,10,0.081,11.401,65.732,57,323.206,-0.479,0.253,-0.014,-1.315,-7.11,0.0,-1.8,-6.857,-0.014
high,B_m50_pf0.0_occ0.8_d7.0_s1,350,50,50,700.0,169.259,5,0.02,11.544,75.676,34,244.935,171.991,5,0.031,11.737,71.519,34,243.51,170.088,5,0.039,11.544,71.11,33,241.198,0.582,4.157,0.193,0.949,0.409,-0.193,1.526,4.566,0.0
high,B_m50_pf0.4_occ0.75_d7.0_s1,350,50,50,700.0,190.468,5,0.028,12.025,29.794,16,220.262,192.112,5,0.027,11.944,30.146,16,222.258,191.887,5,0.03,12.211,27.114,16,219.001,-0.906,-0.352,-0.081,1.465,3.032,0.267,0.573,2.68,0.186
high,B_m400_pf0.2_occ0.8_d9.0_s0,3600,400,400,700.0,1139.659,45,0.467,11.474,310.445,448,1450.104,1138.47,45,0.536,11.507,307.264,451,1445.734,1138.363,45,0.583,11.474,297.942,429,1436.305,0.301,3.181,0.033,0.652,9.322,-0.033,0.952,12.503,0.0
high,B_m200_pf0.0_occ0.75_d7.0_s0,1400,200,199,700.0,511.482,17,0.143,11.67,62.822,69,574.304,510.691,17,0.161,11.67,62.246,65,572.937,512.2,17,0.186,11.67,68.228,70,580.428,0.238,0.576,0.0,-1.307,-5.982,0.0,-1.066,-5.406,0.0
high,B_m100_pf0.0_occ0.7_d5.0_s1,500,100,99,700.0,255.815,7,0.049,11.872,7.229,7,263.044,254.372,7,0.063,11.862,7.229,7,261.601,255.068,7,0.084,11.872,7.229,7,262.297,0.549,0.0,-0.01,-0.266,0.0,0.01,0.284,0.0,0.0
high,B_m100_pf0.0_occ0.7_d5.0_s0,500,100,100,700.0,242.908,7,0.061,11.948,1.078,1,243.986,243.903,7,0.072,12.075,1.078,1,244.981,245.325,7,0.088,11.837,1.078,1,246.403,-0.408,0.0,0.127,-0.58,0.0,-0.238,-0.991,0.0,-0.111
high,B_m200_pf0.0_occ0.8_d7.0_s0,1400,200,200,700.0,617.296,18,0.16,11.816,146.306,131,763.602,616.492,18,0.192,11.816,153.719,136,770.211,616.054,18,0.298,11.812,149.424,137,765.478,-0.866,-7.413,0.0,0.615,4.295,-0.004,-0.246,-3.118,-0.004
high,B_m30_pf0.0_occ0.75_d5.0_s1,150,30,30,700.0,105.419,2,0.013,12.099,7.364,8,112.783,106.08,2,0.015,12.099,7.364,8,113.444,106.08,2,0.02,12.099,7.364,8,113.444,-0.586,0.0,0.0,0.0,0.0,0.0,-0.586,0.0,0.0
high,B_m400_pf0.0_occ0.75_d9.0_s0,3600,400,399,700.0,1430.808,46,0.499,11.621,177.784,248,1608.592,1431.089,46,0.537,11.615,182.031,257,1613.12,1422.177,46,0.653,11.615,182.614,258,1604.791,-0.281,-4.247,-0.006,0.516,-0.583,0.0,0.236,-4.83,-0.006
high,B_m200_pf0.2_occ0.75_d5.0_s1,1000,200,198,700.0,364.669,13,0.269,11.691,27.624,31,392.293,363.9,13,0.268,11.698,27.828,32,391.728,364.101,13,0.201,11.611,26.672,30,390.773,0.144,-0.204,0.007,0.244,1.156,-0.087,0.387,0.952,-0.08
high,B_m30_pf0.0_occ0.8_d7.0_s0,210,30,30,700.0,130.396,3,0.012,11.893,26.267,8,156.663,130.396,3,0.012,11.893,26.267,8,156.663,130.396,3,0.018,11.893,27.075,10,157.471,0.0,0.0,0.0,-0.516,-0.808,0.0,-0.516,-0.808,0.0
high,B_m100_pf0.4_occ0.75_d7.0_s0,700,100,100,700.0,276.475,9,0.053,11.832,43.137,31,319.612,276.208,9,0.07,11.939,42.986,30,319.194,276.236,9,0.083,11.948,40.047,27,316.283,0.131,0.151,0.107,0.912,2.939,0.009,1.042,3.09,0.116
high,B_m400_pf0.2_occ0.8_d7.0_s0,2800,400,400,700.0,993.681,35,0.502,11.544,173.001,280,1166.682,995.414,35,0.556,11.544,172.471,270,1167.885,996.062,35,0.583,11.503,180.99,288,1177.052,-0.103,0.53,0.0,-0.785,-8.519,-0.041,-0.889,-7.989,-0.041
high,B_m100_pf0.0_occ0.7_d7.0_s0,700,100,100,700.0,306.055,9,0.06,11.601,13.095,10,319.15,305.825,9,0.09,11.601,13.095,10,318.92,305.423,9,0.093,11.583,13.095,10,318.518,0.072,0.0,0.0,0.126,0.0,-0.018,0.198,0.0,-0.018
high,B_m200_pf0.0_occ0.75_d7.0_s1,1400,200,200,700.0,480.158,18,0.151,11.424,57.52,59,537.678,474.267,18,0.163,11.424,61.607,67,535.874,478.061,18,0.203,11.424,57.094,60,535.155,0.336,-4.087,0.0,0.134,4.513,0.0,0.469,0.426,0.0
high,B_m200_pf0.2_occ0.7_d9.0_s1,1800,200,200,700.0,493.949,23,0.165,11.335,42.986,56,536.935,493.454,23,0.312,11.335,42.986,56,536.44,492.792,23,0.204,11.335,43.02,57,535.812,0.092,0.0,0.0,0.117,-0.034,0.0,0.209,-0.034,0.0
high,B_m200_pf0.2_occ0.8_d5.0_s0,1000,200,199,700.0,404.989,14,0.147,11.634,39.068,51,444.057,405.875,13,0.178,11.713,39.704,51,445.579,405.564,14,0.215,11.713,37.999,48,443.563,-0.343,-0.636,0.079,0.452,1.705,0.0,0.111,1.069,0.079
high,B_m100_pf0.4_occ0.8_d5.0_s0,500,100,100,700.0,218.495,6,0.061,11.919,21.392,18,239.887,219.376,6,0.067,11.928,21.392,18,240.768,217.788,6,0.074,11.925,22.138,18,239.926,-0.367,0.0,0.009,0.35,-0.746,-0.003,-0.016,-0.746,0.006
